Title,Process Name,Current Memory Usage,Start Time,Registered End Time,Duration
PC Usage Analyzer - Dashboard - Personal - Microsoft Edge,msedge.exe,1425.5078125,2024-04-12 02:23:20,2024-04-12 02:23:23,0 days 00:00:04
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1734.21484375,2024-04-12 02:23:25,2024-04-12 02:23:27,0 days 00:00:03
DevTools - 127.0.0.1:8000/dashboard/dash,msedge.exe,1718.90625,2024-04-12 02:23:28,2024-04-12 02:23:28,0 days 00:00:01
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1761.05859375,2024-04-12 02:23:29,2024-04-12 02:23:30,0 days 00:00:02
PC Usage Analyzer,dopus.exe,160.2265625,2024-04-12 02:23:31,2024-04-12 02:23:33,0 days 00:00:03
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1761.50390625,2024-04-12 02:23:34,2024-04-12 02:23:34,0 days 00:00:01
Task View,explorer.exe,149.0859375,2024-04-12 02:23:35,2024-04-12 02:23:35,0 days 00:00:01
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1728.59375,2024-04-12 02:23:36,2024-04-12 02:23:36,0 days 00:00:01
Search,SearchHost.exe,96.58984375,2024-04-12 02:23:37,2024-04-12 02:23:53,0 days 00:00:16
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1711.44921875,2024-04-12 02:23:54,2024-04-12 02:23:54,0 days 00:00:01
Notification Center,ShellExperienceHost.exe,41.72265625,2024-04-12 02:23:55,2024-04-12 02:23:58,0 days 00:00:04
Desktop,explorer.exe,125.296875,2024-04-12 02:23:59,2024-04-12 02:23:59,0 days 00:00:01
Quick settings,ShellExperienceHost.exe,41.46484375,2024-04-12 02:24:00,2024-04-12 02:24:02,0 days 00:00:03
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1741.046875,2024-04-12 02:24:03,2024-04-12 02:24:04,0 days 00:00:02
System tray overflow window.,explorer.exe,125.93359375,2024-04-12 02:24:05,2024-04-12 02:24:08,0 days 00:00:04
Desktop,explorer.exe,125.93359375,2024-04-12 02:24:09,2024-04-12 02:24:11,0 days 00:00:03
Free Download Manager,fdm.exe,20.76171875,2024-04-12 02:24:12,2024-04-12 02:24:16,0 days 00:00:05
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1735.25,2024-04-12 02:24:18,2024-04-12 02:24:18,0 days 00:00:01
Desktop,explorer.exe,152.1015625,2024-04-12 02:24:19,2024-04-12 02:24:19,0 days 00:00:01
Task View,explorer.exe,153.90234375,2024-04-12 02:24:20,2024-04-12 02:24:20,0 days 00:00:01
Copilot (preview),msedge.exe,1399.57421875,2024-04-12 02:24:21,2024-04-12 02:24:23,0 days 00:00:03
Desktop,explorer.exe,130.48046875,2024-04-12 02:24:24,2024-04-12 02:24:24,0 days 00:00:01
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1774.0859375,2024-04-12 02:24:25,2024-04-12 02:24:26,0 days 00:00:02
Krishnaraj's Notebook - OneNote for Windows 10,ApplicationFrameHost.exe,15.6640625,2024-04-12 02:24:27,2024-04-12 02:24:30,0 days 00:00:04
Media Player,ApplicationFrameHost.exe,13.1328125,2024-04-12 02:24:31,2024-04-12 02:24:32,0 days 00:00:02
Sonu Nigam - Kaun Kenda,Spotify.exe,282.421875,2024-04-12 02:24:33,2024-04-12 02:24:36,0 days 00:00:04
Task View,explorer.exe,156.92578125,2024-04-12 02:24:37,2024-04-12 02:24:37,0 days 00:00:01
Desktop,explorer.exe,159.140625,2024-04-12 02:24:38,2024-04-12 02:24:38,0 days 00:00:01
MainApp.py - PC Usage Analyzer - python - Visual Studio Code,Code.exe,1711.80078125,2024-04-12 02:24:40,2024-04-12 02:24:43,0 days 00:00:04
PC Usage Analyzer - Dashboard and 1 more page - Personal - Microsoft Edge,msedge.exe,1242.57421875,2024-04-14 23:31:47,2024-04-14 23:31:56,0 days 00:00:09
This PC,dopus.exe,80.765625,2024-04-14 23:31:57,2024-04-14 23:32:05,0 days 00:00:09
Search,SearchHost.exe,142.04296875,2024-04-14 23:32:06,2024-04-14 23:32:09,0 days 00:00:04
This PC,dopus.exe,80.80859375,2024-04-14 23:32:10,2024-04-14 23:32:10,0 days 00:00:01
WhatsApp,ApplicationFrameHost.exe,8.80078125,2024-04-14 23:32:11,2024-04-14 23:32:11,0 days 00:00:01
Meet - wep-uwpa-zaz and 4 more pages - Personal - Microsoft Edge,msedge.exe,1186.70703125,2024-04-14 23:32:12,2024-04-14 23:32:14,0 days 00:00:02
WhatsApp,ApplicationFrameHost.exe,8.83984375,2024-04-14 23:32:15,2024-04-14 23:32:18,0 days 00:00:04
Task View,explorer.exe,331.9609375,2024-04-14 23:32:19,2024-04-14 23:32:20,0 days 00:00:02
This PC,dopus.exe,80.8671875,2024-04-14 23:32:21,2024-04-14 23:32:40,0 days 00:00:20
PC Usage Analyzer - Dashboard and 1 more page - Personal - Microsoft Edge,msedge.exe,1141.49609375,2024-04-14 23:32:41,2024-04-14 23:34:23,0 days 00:00:21
Search,SearchHost.exe,140.2265625,2024-04-14 23:34:24,2024-04-14 23:34:27,0 days 00:00:04
